,index,Date,State,Residents.Initiated,Month,Year,Population_Dec2021,Residents.Initiated.Rate,Prioritization?,Date_prioritized,Phase_state,Mono.Initiated.Coverage,Days,Days_since_last
70,5054,2022-06-12,North Carolina,23622.0,6,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,497,7.0
71,5055,2022-06-19,North Carolina,23622.0,6,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,504,7.0
72,5056,2022-06-26,North Carolina,23622.0,6,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,511,7.0
73,5057,2022-07-03,North Carolina,23622.0,7,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,518,7.0
74,5058,2022-07-10,North Carolina,23622.0,7,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,525,7.0
75,5059,2022-07-17,North Carolina,23622.0,7,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,532,7.0
76,5060,2022-07-24,North Carolina,23622.0,7,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,539,7.0
77,5061,2022-07-31,North Carolina,23622.0,7,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,546,7.0
78,5062,2022-08-07,North Carolina,23622.0,8,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,553,7.0
79,5063,2022-08-14,North Carolina,23622.0,8,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,560,7.0
80,5064,2022-08-21,North Carolina,23622.0,8,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,567,7.0
81,5065,2022-08-28,North Carolina,23622.0,8,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,574,7.0
82,5066,2022-09-04,North Carolina,23622.0,9,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,581,7.0
83,5067,2022-09-11,North Carolina,23622.0,9,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,588,7.0
84,5068,2022-09-18,North Carolina,23622.0,9,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,595,7.0
85,5069,2022-09-25,North Carolina,23622.0,9,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,602,7.0
86,5070,2022-10-02,North Carolina,23622.0,10,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,609,7.0
87,5071,2022-10-09,North Carolina,23622.0,10,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,616,7.0
88,5072,2022-10-16,North Carolina,23622.0,10,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,623,7.0
89,5073,2022-10-23,North Carolina,23622.0,10,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,630,7.0
90,5074,2022-10-30,North Carolina,23622.0,10,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,637,7.0
91,5075,2022-11-06,North Carolina,23622.0,11,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,644,7.0
92,5076,2022-11-13,North Carolina,23622.0,11,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,651,7.0
93,5077,2022-11-20,North Carolina,23622.0,11,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,658,7.0
94,5078,2022-11-27,North Carolina,23622.0,11,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,665,7.0
95,5079,2022-12-04,North Carolina,23622.0,12,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,672,7.0
96,5080,2022-12-11,North Carolina,23622.0,12,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,679,7.0
97,5081,2022-12-18,North Carolina,23622.0,12,2022,29439.0,0.8024049729950066,yes,2021-03-01,4,,686,7.0
98,5082,2023-01-01,North Carolina,23622.0,1,2023,29439.0,0.8024049729950066,yes,2021-03-01,4,,700,14.0
99,5083,2023-01-08,North Carolina,23622.0,1,2023,29439.0,0.8024049729950066,yes,2021-03-01,4,,707,7.0
100,5084,2023-01-15,North Carolina,23622.0,1,2023,29439.0,0.8024049729950066,yes,2021-03-01,4,,714,7.0
0,4602,2021-12-19,New Jersey,9299.0,12,2021,12538.0,0.7416653373743819,yes,2020-12-01,1A,0.7416653373743819,369,
1,4603,2021-12-26,New Jersey,9299.0,12,2021,12538.0,0.7416653373743819,yes,2020-12-01,1A,0.7416653373743819,376,7.0
2,4604,2022-01-02,New Jersey,9299.0,1,2022,12538.0,0.7416653373743819,yes,2020-12-01,1A,0.7416653373743819,383,7.0
3,4605,2022-01-16,New Jersey,9443.0,1,2022,12538.0,0.7531504227149466,yes,2020-12-01,1A,0.7531504227149466,397,14.0
4,4606,2022-01-23,New Jersey,9469.0,1,2022,12538.0,0.7552241186792152,yes,2020-12-01,1A,0.7552241186792152,404,7.0
5,4607,2022-01-30,New Jersey,9546.0,1,2022,12538.0,0.7613654490349338,yes,2020-12-01,1A,0.7613654490349338,411,7.0
6,4608,2022-02-06,New Jersey,9578.0,2,2022,12538.0,0.763917690221726,yes,2020-12-01,1A,0.763917690221726,418,7.0
7,4609,2022-02-13,New Jersey,9606.0,2,2022,12538.0,0.766150901260169,yes,2020-12-01,1A,0.766150901260169,425,7.0
8,4610,2022-02-20,New Jersey,9606.0,2,2022,12538.0,0.766150901260169,yes,2020-12-01,1A,0.766150901260169,432,7.0
9,4611,2022-02-27,New Jersey,9606.0,2,2022,12538.0,0.766150901260169,yes,2020-12-01,1A,0.766150901260169,439,7.0
10,4612,2022-03-06,New Jersey,9680.0,3,2022,12538.0,0.7720529590046259,yes,2020-12-01,1A,0.7720529590046259,446,7.0
11,4613,2022-03-13,New Jersey,9680.0,3,2022,12538.0,0.7720529590046259,yes,2020-12-01,1A,0.7720529590046259,453,7.0
12,4614,2022-03-20,New Jersey,9680.0,3,2022,12538.0,0.7720529590046259,yes,2020-12-01,1A,0.7720529590046259,460,7.0
13,4615,2022-03-27,New Jersey,9680.0,3,2022,12538.0,0.7720529590046259,yes,2020-12-01,1A,0.7720529590046259,467,7.0
14,4616,2022-04-03,New Jersey,9834.0,4,2022,12538.0,0.7843356197160631,yes,2020-12-01,1A,0.7843356197160631,474,7.0
15,4617,2022-04-10,New Jersey,10026.0,4,2022,12538.0,0.799649066836816,yes,2020-12-01,1A,0.799649066836816,481,7.0
16,4618,2022-04-17,New Jersey,10026.0,4,2022,12538.0,0.799649066836816,yes,2020-12-01,1A,0.799649066836816,488,7.0
17,4619,2022-04-24,New Jersey,10200.0,4,2022,12538.0,0.8135268782899984,yes,2020-12-01,1A,0.8135268782899984,495,7.0
18,4620,2022-05-01,New Jersey,10285.0,5,2022,12538.0,0.8203062689424151,yes,2020-12-01,1A,0.8203062689424151,502,7.0
19,4621,2022-05-08,New Jersey,10370.0,5,2022,12538.0,0.8270856595948317,yes,2020-12-01,1A,0.8270856595948317,509,7.0
20,4622,2022-05-15,New Jersey,10370.0,5,2022,12538.0,0.8270856595948317,yes,2020-12-01,1A,0.8270856595948317,516,7.0
21,4623,2022-05-22,New Jersey,10490.0,5,2022,12538.0,0.8366565640453023,yes,2020-12-01,1A,0.8366565640453023,523,7.0
22,4624,2022-05-29,New Jersey,10553.0,5,2022,12538.0,0.8416812888817994,yes,2020-12-01,1A,0.8416812888817994,530,7.0
23,4625,2022-06-05,New Jersey,10594.0,6,2022,12538.0,0.8449513479023768,yes,2020-12-01,1A,0.8449513479023768,537,7.0
24,4626,2022-06-12,New Jersey,10618.0,6,2022,12538.0,0.8468655287924709,yes,2020-12-01,1A,0.8468655287924709,544,7.0
25,4627,2022-06-19,New Jersey,10618.0,6,2022,12538.0,0.8468655287924709,yes,2020-12-01,1A,0.8468655287924709,551,7.0
26,4628,2022-06-26,New Jersey,10703.0,6,2022,12538.0,0.8536449194448875,yes,2020-12-01,1A,0.8536449194448875,558,7.0
